ExperimentName	Subject	Session	AmEnglish.ACC	AmEnglish.CRESP	AmEnglish.DEVICE	AmEnglish.RESP	AmEnglish.RT	AmEnglish.RTTime	BritEnglish.ACC	BritEnglish.CRESP	BritEnglish.DEVICE	BritEnglish.RESP	BritEnglish.RT	BritEnglish.RTTime	CanEnglish.ACC	CanEnglish.CRESP	CanEnglish.DEVICE	CanEnglish.RESP	CanEnglish.RT	CanEnglish.RTTime	Chronos.BoxInfo	Clock.Information	consentBriefing.DEVICE	DataFile.Basename	Display.RefreshRate	EndPracticeCheck.DEVICE	ExperimentVersion	getConsent.DEVICE	Group	Instructions1.DEVICE	Instructions2.DEVICE	Instructions3.DEVICE	Instructions4.DEVICE	Instructions5.DEVICE	Instructions6.DEVICE	IntertrialMask2.DEVICE	IntertrialMask3.DEVICE	IntertrialMask4.DEVICE	OtherLang.ACC	OtherLang.CRESP	OtherLang.DEVICE	OtherLang.RESP	OtherLang.RT	OtherLang.RTTime	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	transToDemos.DEVICE	Block	CorrectAnswer	Duration	GreyMask.CRESP	GreyMask.DurationError	GreyMask.OnsetDelay	GreyMask.RESP	GreyMask.RT	GreyPrompt.ACC	GreyPrompt.CRESP	GreyPrompt.DEVICE	GreyPrompt.DurationError	GreyPrompt.OnsetDelay	GreyPrompt.OnsetTime	GreyPrompt.OnsetToOnsetTime	GreyPrompt.RESP	GreyPrompt.RT	GreyPrompt.RTTime	IntertrialMask.DEVICE	Practice	Practice.Cycle	Practice.Sample	Procedure	Prompt	Prompt.ACC	Prompt.CRESP	Prompt.DEVICE	Prompt.DurationError	Prompt.OnsetDelay	Prompt.OnsetTime	Prompt.OnsetToOnsetTime	Prompt.RESP	Prompt.RT	Prompt.RTTime	PromptPattern	Running	Stimulus	TrialPattern	Trials	Trials.Cycle	Trials.Sample	Word1	Word10	Word11	Word12	Word13	Word14	Word15	Word16	Word17	Word18	Word19	Word2	Word20	Word21	Word22	Word23	Word24	Word25	Word26	Word27	Word28	Word29	Word3	Word30	Word31	Word32	Word33	Word34	Word35	Word36	Word37	Word38	Word39	Word4	Word40	Word5	Word6	Word7	Word8	Word9	WordSlide1.DurationError	WordSlide1.OnsetDelay	WordSlide1.OnsetTime	WordSlide1.OnsetToOnsetTime	WordSlide10.DurationError	WordSlide10.OnsetDelay	WordSlide10.OnsetTime	WordSlide10.OnsetToOnsetTime	WordSlide11.DurationError	WordSlide11.OnsetDelay	WordSlide11.OnsetTime	WordSlide11.OnsetToOnsetTime	WordSlide12.DurationError	WordSlide12.OnsetDelay	WordSlide12.OnsetTime	WordSlide12.OnsetToOnsetTime	WordSlide13.DurationError	WordSlide13.OnsetDelay	WordSlide13.OnsetTime	WordSlide13.OnsetToOnsetTime	WordSlide14.DurationError	WordSlide14.OnsetDelay	WordSlide14.OnsetTime	WordSlide14.OnsetToOnsetTime	WordSlide15.DurationError	WordSlide15.OnsetDelay	WordSlide15.OnsetTime	WordSlide15.OnsetToOnsetTime	WordSlide2.DurationError	WordSlide2.OnsetDelay	WordSlide2.OnsetTime	WordSlide2.OnsetToOnsetTime	WordSlide3.DurationError	WordSlide3.OnsetDelay	WordSlide3.OnsetTime	WordSlide3.OnsetToOnsetTime	WordSlide4.DurationError	WordSlide4.OnsetDelay	WordSlide4.OnsetTime	WordSlide4.OnsetToOnsetTime	WordSlide5.DurationError	WordSlide5.OnsetDelay	WordSlide5.OnsetTime	WordSlide5.OnsetToOnsetTime	WordSlide6.DurationError	WordSlide6.OnsetDelay	WordSlide6.OnsetTime	WordSlide6.OnsetToOnsetTime	WordSlide7.DurationError	WordSlide7.OnsetDelay	WordSlide7.OnsetTime	WordSlide7.OnsetToOnsetTime	WordSlide8.DurationError	WordSlide8.OnsetDelay	WordSlide8.OnsetTime	WordSlide8.OnsetToOnsetTime	WordSlide9.DurationError	WordSlide9.OnsetDelay	WordSlide9.OnsetTime	WordSlide9.OnsetToOnsetTime
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	1	1	93		0	0		0	0	1	Chronos	0	7	108786	1000		0	0	Chronos	1	1	1	TrialProc15	wind fell down	1	1	Chronos	1	3	106492	0	1	2287	108779	F	Practice	Practice1	F				a	blew	down	all	of	the	corn	?	?	?	?	storm	?	?	?	?	?	?	?	?	?	?	came	?	?	?	?	?	?	?	?	?	?	in	?	the	night	and	the	wind	0	7	104839	93	0	0	105679	93	1	0	105772	94	0	1	105866	93	0	0	105959	93	1	0	106052	94	0	1	106146	93	1	0	104932	94	0	1	105026	93	0	0	105119	93	1	0	105212	94	0	1	105306	93	0	0	105399	93	1	0	105492	94	0	1	105586	93
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	2	5	93		0	1		0	0	5	Chronos	0	11	115933	1000		0	0	Chronos	2	1	2	TrialProc09	and journals lay	1	5	Chronos	0	3	114386	0	5	1536	115922	F	Practice	Practice2	F				magazines	?	?	?	?	?	?	?	?	?	?	books	?	?	?	?	?	?	?	?	?	?	and	?	?	?	?	?	?	?	?	?	?	journals	?	lay	all	over	the	desk	1	6	113292	94																									0	1	113386	93	1	0	113479	94	0	1	113573	93	0	0	113666	93	0	0	113759	94	0	1	113853	93	0	0	113946	93	1	0	114039	94
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	3	1	93		0	1		0	0	1	Chronos	0	14	123946	1000		0	0	Chronos	3	1	3	TrialProc12	made of metal	1	1	Chronos	0	3	120986	0	1	2946	123932	F	Practice	Practice3	F				the	metal	and	cotton	?	?	?	?	?	?	?	chair	?	?	?	?	?	?	?	?	?	?	in	?	?	?	?	?	?	?	?	?	?	the	?	office	was	made	of	wood	0	7	119613	93	0	1	120453	93	0	0	120546	93	1	0	120639	94													0	0	119706	93	1	0	119799	94	0	1	119893	93	0	0	119986	93	1	0	120079	94	0	1	120173	93	0	0	120266	93	1	0	120359	94
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	4	1	93		0	1		0	0	1	Chronos	1	15	135346	1000		0	0	Chronos				TrialProc11	pan to make	1	1	Chronos	0	3	133706	0	1	1625	135331	F	Trials	Filler1	F	1	1	1	peter	the	potatoes	?	?	?	?	?	?	?	?	borrows	?	?	?	?	?	?	?	?	?	?	a	?	?	?	?	?	?	?	?	?	?	pot	?	pan	and	mixer	to	make	1	7	132426	93	1	0	133266	93	1	0	133359	94																	1	0	132519	94	0	1	132613	93	0	0	132706	93	1	0	132799	94	0	1	132893	93	1	0	132986	93	1	0	133079	94	0	1	133173	93
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	5	5	93		1	0		0	0	5	Chronos	0	13	143600	1000		0	0	Chronos				TrialProc10	but his brother orange	0	5	Chronos	0	4	140600	0	1	2987	143587	G	Trials	Filler2	F	2	1	2	alex	green	?	?	?	?	?	?	?	?	?	likes	?	?	?	?	?	?	?	?	?	?	blue	?	?	?	?	?	?	?	?	?	?	but	?	his	brother	likes	orange	and	0	7	139413	93	0	0	140253	93																					1	0	139506	94	0	1	139600	93	0	0	139693	93	1	0	139786	94	0	1	139880	93	0	0	139973	93	1	0	140066	94	0	1	140160	93
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	6	5	93		0	0		0	0	5	Chronos	1	8	152026	1000		0	0	Chronos				TrialProc12	play the horn	1	5	Chronos	1	3	150746	0	5	1271	152017	F	Trials	Filler3	F	3	1	3	my	and	bass	respectively	?	?	?	?	?	?	?	aunt	?	?	?	?	?	?	?	?	?	?	uncle	?	?	?	?	?	?	?	?	?	?	and	?	cousin	play	the	horn	piano	0	7	149373	93	0	0	150213	93	1	0	150306	94	0	1	150400	93													1	0	149466	94	0	1	149560	93	0	0	149653	93	1	0	149746	94	0	1	149840	93	0	0	149933	93	1	0	150026	94	0	1	150120	93
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	7	1	93		1	0		0	0	1	Chronos	0	10	159187	1000		0	0	Chronos				TrialProc09	bill likes jazz	1	1	Chronos	0	4	157427	0	1	1750	159177	SG	Trials	4-5	SG	4	1	4	john	?	?	?	?	?	?	?	?	?	?	likes	?	?	?	?	?	?	?	?	?	?	rock	?	?	?	?	?	?	?	?	?	?	and	?	bill	too	and	mike	jazz	1	7	156333	93																									1	0	156426	94	0	1	156520	93	1	0	156613	94	0	1	156707	93	0	0	156800	93	1	0	156893	93	1	0	156986	94	0	1	157080	93
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	8	1	93		0	0		0	0	1	Chronos	1	8	164293	1000		0	0	Chronos				TrialProc07	and russia tennis	0	1	Chronos	1	3	163213	0	5	1072	164285	NE	Trials	6-4	NE	5	1	5	canada	?	?	?	?	?	?	?	?	?	?	enjoys	?	?	?	?	?	?	?	?	?	?	soccer	?	?	?	?	?	?	?	?	?	?	and	?	russia	enjoys	tennis	?	?	0	7	162307	93																									0	0	162400	93	1	0	162493	94	0	1	162587	93	0	0	162680	93	1	0	162773	94	0	1	162867	93								
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	9	5	93		0	1		0	0	5	Chronos	0	16	170600	1000		0	0	Chronos				TrialProc09	cancer in the mouth	1	5	Chronos	0	3	169520	0	5	1064	170584	F	Trials	Filler4	F	6	1	6	alcohol	?	?	?	?	?	?	?	?	?	?	can	?	?	?	?	?	?	?	?	?	?	cause	?	?	?	?	?	?	?	?	?	?	cancer	?	in	the	mouth	and	stomach	0	7	168427	93																									0	0	168520	93	1	0	168613	94	0	1	168707	93	0	0	168800	93	1	0	168893	94	0	1	168987	93	0	0	169080	93	1	0	169173	94
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	10	1	93		0	0		0	0	1	Chronos	0	5	177587	1000		0	0	Chronos				TrialProc09	and david plays	0	1	Chronos	1	3	176280	0	5	1302	177582	S	Trials	Filler5	F	7	1	7	david	?	?	?	?	?	?	?	?	?	?	plays	?	?	?	?	?	?	?	?	?	?	country	?	?	?	?	?	?	?	?	?	?	and	?	metal	music	in	his	band	0	7	175187	93																									1	0	175280	93	1	0	175373	94	0	1	175467	93	0	0	175560	93	1	0	175653	94	0	1	175747	93	1	0	175840	94	0	1	175934	93
RSVP_Experiment_1_List_A_1	10	1	1	5	Chronos	5	1841	341724	1	1	Chronos	1	2231	343967	1	1	Chronos	1	988	344964	<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04303-2970</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&769a227&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(12)</USBConnectionRoute></ChronosDeviceInfo>	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">26034703471183</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-04T18:42:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Chronos	RSVP_Experiment_1_List_A_1-10-1	75.001	Chronos	1.0.0.283	Chronos	1	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	Chronos	1	1	Chronos	1	2069	347045	-1385639878	Full	3.0.3.80	3.0.3.80	12-04-2019	12/4/2019 6:42:02 PM	13:42:02	3.0.3.82	Chronos	11	1	93		0	0		0	0	1	Chronos	1	10	185520	1000		0	0	Chronos				TrialProc06	and brian sells	1	1	Chronos	1	3	183040	0	1	2470	185510	S	Trials	5-1	S	8	1	8	chris	?	?	?	?	?	?	?	?	?	?	sells	?	?	?	?	?	?	?	?	?	?	knives	?	?	?	?	?	?	?	?	?	?	and	?	brian	too	?	?	?	0	7	182227	93																									1	0	182320	94	0	1	182414	93	0	0	182507	93	1	0	182600	94	0	1	182694	93												
